,gain,gain,loss,loss,Full sample,Full sample
,n,%,n,%,n,%
,,,,,,
18 - 24 years old,30,27,26,23,56,50
25 - 34 years old,61,25,63,25,124,50
35 - 44 years old,15,23,18,27,33,50
45 - 54 years old,3,25,3,25,6,50
55 - 64 years old,2,25,2,25,4,50
,,,,,,
Associates or technical degree,24,26,23,24,47,50
Bachelor's degree,50,27,44,23,94,50
Completed high school / secondary school,16,22,21,28,37,50
"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",20,23,24,27,44,50
,,,,,,
Asian,14,21,20,29,34,50
Black/African/Caribbean,17,33,9,17,26,50
Other,0,0,2,50,2,50
Prefer not to say,0,0,2,50,2,50
White or Caucasian,79,25,79,25,158,50
ADP Familiarity,,,,,,
No,74,26,68,24,142,50
Yes,49,23,56,27,105,50
I'm not sure,,26,,24,25,50
Student,,,,,,
No,42,27,36,23,78,50
Yes,53,23,63,27,116,50
Continent,,,,,,
North America,51,24,57,26,108,50
Europe,34,29,24,21,58,50
Asia,8,20,12,30,20,50
Other / Not Provided,18,24,19,26,37,50
