ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_num,gender,gender_num,ethnicity,ethnicity_num,education,education_num,continent,continent_num,ADP_num,ADP_familiar,student,student_num,NEP_Score,scenario_clean
R_NVdvtmfjOpqbjt7,gain,animals_gain,Proposal A,2: Preference for Proposal A,2,fgfd,35 - 44 years old,2,Male,1,White or Caucasian,4,Associates or technical degree,0,Not Provided,3,-1,,No,0,27,animals
R_1PdD5x1QaR96ry5,loss,animals_loss,Proposal A,2: Preference for Proposal A,2,I'm not good with maths and I don't like gambling. 1/3 guaranteed alive animals is better than the 2/3 gamble that all of them die.,45 - 54 years old,3,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,-1,,No,0,20,animals
R_2pQPkuWqwDFa4ht,gain,forest_gain,Proposal B,5: Slight Preference for Proposal B,5,"Conserving 300 trees in the future will be more difficult. Next time, the compromise is going to be 100 trees. Then 30. ",35 - 44 years old,2,Other,2,White or Caucasian,4,Bachelor's degree,1,Europe,1,-1,,No,0,16,forest
R_3m4yc0cNJWvh3ay,loss,humans_loss,Proposal B,6: Preference for Proposal B,6,I love me a good gamble. Best feeling in the world if you win. :),18 - 24 years old,0,Male,1,Asian,0,Completed high school / secondary school,2,Asia,0,1,No,Yes,1,9,humans
R_3jTgIu177nGiYJ2,gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Proposal A is guaranteed lives saved and B has a high chance of zero survival so I’m going for guaranteed lives ,35 - 44 years old,2,Female,0,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,No,0,15,humans
R_3rqj1mPKRYbABzz,loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,1,Male,1,White or Caucasian,4,Completed high school / secondary school,2,North America,2,2,Yes,No,0,16,animals
R_x9sjTCDfAzRGF7b,loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,ugj,25 - 34 years old,1,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,No,0,20,forest
R_2aslBOe9982yOUw,gain,animals_gain,Proposal B,4: No Preference for Proposal A or B,4,,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,8,animals
R_3fPK05wtfzgynpL,gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,Plan A is safer,35 - 44 years old,2,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,0,I'm not sure,No,0,10,forest
R_1inAAY1EjXY5uip,loss,humans_loss,Proposal B,6: Preference for Proposal B,6,adasdad,25 - 34 years old,1,Female,0,White or Caucasian,4,Associates or technical degree,0,Not Provided,3,2,Yes,No,0,23,humans
R_1rpFtYKkYSYlGuB,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,The probability that choice A is stable and choice B is 1/3 is not very high   ,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,9,forest
R_vYmkyLhPdtgZbBD,loss,animals_loss,Proposal A,2: Preference for Proposal A,2,No room for error,25 - 34 years old,1,Female,0,White or Caucasian,4,Associates or technical degree,0,North America,2,2,Yes,No,0,8,animals
R_1ocIFtWgQEFTLfH,gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,"I don't like the idea of putting all 900 people's lives on the lives, I'd rather have 300 guaranteed lives safe.",18 - 24 years old,0,Male,1,White or Caucasian,4,Completed high school / secondary school,2,Oceania,4,1,No,Yes,1,18,humans
R_2zMWHKgL9aZY5R7,gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,Media coverage will probably be worse and the option as a whole would be less justifiable if it goes wrong,18 - 24 years old,0,Other,2,White or Caucasian,4,Associates or technical degree,0,Europe,1,1,No,Yes,1,17,animals
R_1FbkLFluHgZjH4E,gain,forest_gain,Proposal A,2: Preference for Proposal A,2,Plan a is safer,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,North America,2,1,No,No,0,24,forest
R_2ttKqqTYt4nAUSi,gain,humans_gain,Proposal B,5: Slight Preference for Proposal B,5,,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,Bachelor's degree,1,Europe,1,1,No,No,0,8,humans
R_3EbYbhaXKeC1ONH,loss,humans_loss,Proposal B,6: Preference for Proposal B,6,"Life is bigger than days, there is a 1/3 chance to save everyone, and as government officials should mobilize all available resources to save more lives   ",25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,21,humans
R_2uvO2kYP46HWVvF,loss,forest_loss,Proposal A,4: No Preference for Proposal A or B,4,Both of them are really bad choices so I cannot have a preference ,25 - 34 years old,1,Female,0,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,Yes,1,9,forest
R_WCpp7rA55qchy9j,gain,forest_gain,Proposal A,4: No Preference for Proposal A or B,4,"If you choose A, you can guarantee the survival of 300 trees, and the probability of B being protected is less than the probability of being protected.",25 - 34 years old,1,Male,1,White or Caucasian,4,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,Yes,1,30,forest
R_1gvGQNXJXRGA8Rp,gain,humans_gain,Proposal B,4: No Preference for Proposal A or B,4,Choice B is like gambling. You have to lose,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,North America,2,2,Yes,Yes,1,30,humans
R_27jlcHjQmVhKcu5,loss,humans_loss,Proposal B,6: Preference for Proposal B,6,Maybe fewer people will die this way,35 - 44 years old,2,Male,1,White or Caucasian,4,Bachelor's degree,1,Europe,1,1,No,No,0,22,humans
R_1doUBi5lYk0FilO,loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,A 1/3 chance,25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,1,No,No,0,9,animals
R_3PiNmOxUIzuHLsE,gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,,35 - 44 years old,2,Female,0,White or Caucasian,4,Completed high school / secondary school,2,North America,2,2,Yes,No,0,23,animals
R_2SrGnQuDHgbX09H,loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5," If you bet right, you can avoid ocean death.",25 - 34 years old,1,Male,1,White or Caucasian,4,Bachelor's degree,1,North America,2,2,Yes,No,0,11,animals
R_3iKHfbIOdJpvzqU,gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,Just because I can't gamble with 900 people's lives,25 - 34 years old,1,Male,1,White or Caucasian,4,Associates or technical degree,0,Europe,1,1,No,No,0,15,humans
R_2qrBYQ9zWp28yCu,loss,forest_loss,Proposal A,2: Preference for Proposal A,2,空气污染严重,45 - 54 years old,3,Male,1,Asian,0,Bachelor's degree,1,Asia,0,2,Yes,No,0,21,forest
R_viW4qwRjlTUyksp,gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,污染严重,35 - 44 years old,2,Female,0,Asian,0,Bachelor's degree,1,Asia,0,2,Yes,No,0,19,humans
R_XMoLodj1bLLsM5r,loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,25 - 34 years old,1,Female,0,Black/African/Caribbean,1,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,2,Yes,Yes,1,23,humans
R_1FxodwWOgksSmfg,loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,Preference refers to a concept in utility theory. It refers to the attitude of decision makers towards returns and risks. The degree to which the decision-maker has a strong preference for an option or outcome   ,25 - 34 years old,1,Female,0,Asian,0,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",3,Asia,0,2,Yes,No,0,21,animals
