,ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_grouped,gender,gender_grouped,ethnicity,ethnicity_grouped,education,continent_grouped,ADP_familiar,student,scenario_clean,option_selected_B,option_selected_A,frame_gain,frame_loss,scenario_clean_cat,reversed_rating_num,scenario_clean2,scenario_clean3,scenario_for,scenario_an,scenario_hum,ADP_No,ADP_Yes
0,R_NVdvtmfjOpqbjt7,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,fgfd,35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,,No,animals,0,1,1,0,0,6,animals,animals,1,0,2,,
1,R_1PdD5x1QaR96ry5,Loss,animals_loss,Proposal A,2: Preference for Proposal A,2,I'm not good with maths and I don't like gambling. 1/3 guaranteed alive animals is better than the 2/3 gamble that all of them die.,45 - 54 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,,No,animals,0,1,0,1,0,6,animals,animals,1,0,2,,
2,R_2pQPkuWqwDFa4ht,Gain,forest_gain,Proposal B,5: Slight Preference for Proposal B,5,"Conserving 300 trees in the future will be more difficult. Next time, the compromise is going to be 100 trees. Then 30. ",35 - 44 years old,35+,Prefer to self-describe,Other / Prefer not to say,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,,No,forest,1,0,1,0,1,3,forest,forest,0,2,1,,
3,R_3m4yc0cNJWvh3ay,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,I love me a good gamble. Best feeling in the world if you win. :),18 - 24 years old,18 - 24 years old,Male,Male,Asian,Asian,Completed high school / secondary school,Asia,No,Yes,humans,1,0,0,1,2,2,humans,humans,2,1,0,No,No
4,R_3jTgIu177nGiYJ2,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Proposal A is guaranteed lives saved and B has a high chance of zero survival so I’m going for guaranteed lives ,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
6,R_3rqj1mPKRYbABzz,Loss,animals_loss,Proposal A,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,Yes,No,animals,0,1,0,1,0,4,animals,animals,1,0,2,Yes,Yes
7,R_x9sjTCDfAzRGF7b,Loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,ugj,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,No,forest,0,1,0,1,1,5,forest,forest,0,2,1,Yes,Yes
8,R_2aslBOe9982yOUw,Gain,animals_gain,Proposal B,4: No Preference for Proposal A or B,4,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,North America,Yes,No,animals,1,0,1,0,0,4,animals,animals,1,0,2,Yes,Yes
9,R_3fPK05wtfzgynpL,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,Plan A is safer,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
10,R_1inAAY1EjXY5uip,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,adasdad,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,Yes,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,Yes,Yes
